更新时间,#genre#
东南卫视,http://223.145.224.118:8000/udp/239.76.252.190:9000
东南卫视,http://118.251.60.48:8888/udp/239.76.252.90:9000
东方卫视,http://223.145.224.118:8000/udp/239.76.246.186:1234
东方卫视,http://223.145.224.118:8000/udp/239.76.252.86:9000
东方卫视,http://223.145.224.118:8000/udp/239.76.253.186:9000
云南卫视,http://223.145.224.118:8000/udp/239.76.254.60:9000
云南卫视,http://118.251.60.48:8888/udp/239.76.252.98:9000
兵团卫视,http://118.251.60.48:8888/udp/239.76.245.232:1234
内蒙古卫视,http://223.145.224.118:8000/udp/239.76.245.106:1234
凤凰中文,http://223.145.224.118:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.118:8000/udp/239.76.246.134:1234
凤凰中文,http://223.145.224.118:8000/udp/239.76.246.134:1234
凤凰中文,http://118.251.60.48:8888/udp/239.76.246.134:1234
凤凰中文,http://223.145.224.118:8000/udp/239.76.253.135:9000
凤凰资讯,http://223.145.224.118:8000/udp/239.76.253.134:9000
凤凰资讯,http://223.145.224.118:8000/udp/239.76.246.135:1234
北京卫视,http://223.145.224.118:8000/udp/239.76.246.184:1234
北京卫视,http://118.251.60.48:8888/udp/239.76.252.84:9000
北京卫视,http://223.145.224.118:8000/udp/239.76.252.84:9000
北京卫视,http://223.145.224.118:8000/udp/239.76.253.184:9000
厦门卫视,http://223.145.224.118:8000/udp/239.76.245.231:1234
吉林卫视,http://223.145.224.118:8000/udp/239.76.253.201:9000
吉林卫视,http://223.145.224.118:8000/udp/239.76.246.201:1234
吉林卫视,http://118.251.60.48:8888/udp/239.76.252.103:9000
四川卫视,http://223.145.224.118:8000/udp/239.76.253.91:9000
四川卫视,http://223.145.224.118:8000/udp/239.76.252.96:9000
天津卫视,http://118.251.60.48:8888/udp/239.76.253.185:9000
天津卫视,http://118.251.60.48:8888/udp/239.76.252.85:9000
宁夏卫视,http://223.145.224.118:8000/udp/239.76.245.107:1234
宁夏卫视,http://118.251.60.48:8888/udp/239.76.245.107:1234
安徽卫视,http://223.145.224.118:8000/udp/239.76.245.196:1234
安徽卫视,http://223.145.224.118:8000/udp/239.76.252.196:9000
安徽卫视,http://223.145.224.118:8000/udp/239.76.252.83:9000
山东卫视,http://118.251.60.48:8888/udp/239.76.252.95:9000
山东卫视,http://223.145.224.118:8000/udp/239.76.252.95:9000
山东教育卫视,http://118.251.60.48:8888/udp/239.76.245.191:1234
山东教育卫视,http://223.145.224.118:8000/udp/239.76.245.191:1234
广东卫视,http://223.145.224.118:8000/udp/239.76.252.92:9000
广西卫视,http://118.251.60.48:8888/udp/239.76.254.54:9000
广西卫视,http://223.145.224.118:8000/udp/239.76.254.54:9000
广西卫视,http://223.145.224.118:8000/udp/239.76.252.94:9000
康巴卫视,http://223.145.224.118:8000/udp/239.76.246.89:1234
康巴卫视,http://118.251.60.48:8888/udp/239.76.246.89:1234
延边卫视,http://118.251.60.48:8888/udp/239.76.254.112:9000
延边卫视,http://223.145.224.118:8000/udp/239.76.254.112:9000
新疆卫视,http://223.145.224.118:8000/udp/239.76.245.109:1234
江苏卫视,http://223.145.224.118:8000/udp/239.76.253.181:9000
江苏卫视,http://118.251.60.48:8888/udp/239.76.252.81:9000
江西卫视,http://223.145.224.118:8000/udp/239.76.245.225:1234
江西卫视,http://223.145.224.118:8000/udp/239.76.252.87:9000
河北卫视,http://223.145.224.118:8000/udp/239.76.245.199:1234
河北卫视,http://223.145.224.118:8000/udp/239.76.252.199:9000
河北卫视,http://223.145.224.118:8000/udp/239.76.252.102:9000
河南卫视,http://223.145.224.118:8000/udp/239.76.246.202:1234
河南卫视,http://118.251.60.48:8888/udp/239.76.252.99:9000
河南卫视,http://223.145.224.118:8000/udp/239.76.253.202:9000
河南卫视,http://223.145.224.118:8000/udp/239.76.252.99:9000
浙江卫视,http://118.251.60.48:8888/udp/239.76.253.182:9000
浙江卫视,http://118.251.60.48:8888/udp/239.76.252.82:9000
浙江卫视,http://223.145.224.118:8000/udp/239.76.253.182:9000
浙江卫视,http://223.145.224.118:8000/udp/239.76.252.82:9000
海南卫视,http://223.145.224.118:8000/udp/239.76.253.203:9000
海南卫视,http://223.145.224.118:8000/udp/239.76.246.203:1234
海南卫视,http://223.145.224.118:8000/udp/239.76.252.91:9000
海南卫视,http://118.251.60.48:8888/udp/239.76.252.91:9000
深圳卫视,http://118.251.60.48:8888/udp/239.76.252.88:9000
深圳卫视,http://223.145.224.118:8000/udp/239.76.253.188:9000
深圳卫视,http://223.145.224.118:8000/udp/239.76.252.88:9000
湖北卫视,http://223.145.224.118:8000/udp/239.76.246.193:1234
湖北卫视,http://223.145.224.118:8000/udp/239.76.253.193:9000
湖北卫视,http://223.145.224.118:8000/udp/239.76.252.93:9000
湖南卫视,http://223.145.224.118:8000/udp/239.76.252.115:9000
湖南卫视,http://223.145.224.118:8000/udp/239.76.245.115:1234
湖南卫视,http://223.145.224.118:8000/udp/239.76.246.100:1234
湖南卫视,http://223.145.224.118:8000/udp/239.76.246.101:1234
甘肃卫视,http://223.145.224.118:8000/udp/239.76.245.110:1234
甘肃卫视,http://223.145.224.118:8000/udp/239.76.246.94:1234
甘肃卫视,http://118.251.60.48:8888/udp/239.76.245.110:1234
西藏卫视,http://223.145.224.118:8000/udp/239.76.245.108:1234
贵州卫视,http://223.145.224.118:8000/udp/239.76.252.198:9000
贵州卫视,http://223.145.224.118:8000/udp/239.76.252.101:9000
贵州卫视,http://223.145.224.118:8000/udp/239.76.245.198:1234
辽宁卫视,http://118.251.60.48:8888/udp/239.76.252.89:9000
辽宁卫视,http://223.145.224.118:8000/udp/239.76.245.197:1234
辽宁卫视,http://223.145.224.118:8000/udp/239.76.252.89:9000
辽宁卫视,http://223.145.224.118:8000/udp/239.76.252.197:9000
重庆卫视,http://118.251.60.48:8888/udp/239.76.253.92:9000
重庆卫视,http://118.251.60.48:8888/udp/239.76.252.97:9000
重庆卫视,http://223.145.224.118:8000/udp/239.76.246.92:1234
陕西卫视,http://223.145.224.118:8000/udp/239.76.254.76:9000
陕西卫视,http://118.251.60.48:8888/udp/239.76.252.104:9000
青海卫视,http://223.145.224.118:8000/udp/239.76.254.132:9000
黑龙江卫视,http://223.145.224.118:8000/udp/239.76.246.200:1234
黑龙江卫视,http://223.145.224.118:8000/udp/239.76.253.200:9000
黑龙江卫视,http://223.145.224.118:8000/udp/239.76.252.100:9000

湖南频道,#genre#:
东安综合,http://223.145.224.118:8000/udp/239.76.255.32:9000
中方综合,http://223.145.224.118:8000/udp/239.76.255.36:9000
娄底公共,http://223.145.224.118:8000/udp/239.76.255.19:9000
